lago,fecha,umbral,pixeles_sobre_umbral,porcentaje_valido,area_sobre_umbral_km2,porcentaje_area
amatitlan,2025-01-28,20.0,858,2.447303117601757,0.3432,2.284302523978282
amatitlan,2025-01-28,40.0,159,0.4535212071080179,0.0636,0.4233148033945767
amatitlan,2025-01-28,60.0,20,0.05704669271798968,0.008,0.05324714508107883
amatitlan,2025-04-15,20.0,36152,99.60326206744544,14.4608,96.2495394485581
amatitlan,2025-04-15,40.0,35224,97.04650650209389,14.0896,93.77887191679604
amatitlan,2025-04-15,60.0,33617,92.61902137976637,13.4468,89.50046380953135
amatitlan,2025-04-28,20.0,34939,99.58386774975061,13.9756,93.02010009939066
amatitlan,2025-04-28,40.0,34055,97.06427248111729,13.622,90.66657628680697
amatitlan,2025-04-28,60.0,31824,90.70542967079949,12.7296,84.72685725301264
amatitlan,2025-11-24,20.0,2044,5.913838497815584,0.8176,5.441858227286256
amatitlan,2025-11-24,40.0,758,2.193096664062726,0.3032,2.0180667985728875
amatitlan,2025-11-24,60.0,345,0.9981772415588924,0.138,0.9185132526486098
amatitlan,2026-01-08,20.0,8092,24.22029332535169,3.2368,21.543794899804496
amatitlan,2026-01-08,40.0,1521,4.552529182879377,0.6084,4.049445383416045
amatitlan,2026-01-08,60.0,341,1.020652499251721,0.1364,0.907863823632394
amatitlan,2026-02-02,20.0,6550,19.632527050924676,2.62,17.438440014053317
amatitlan,2026-02-02,40.0,1071,3.2101429727542485,0.4284,2.8513846190917715
amatitlan,2026-02-02,60.0,156,0.46758385037316785,0.0624,0.4153277316324149
amatitlan,2026-02-07,20.0,849,2.5373580394500896,0.3396,2.2603413086917965
amatitlan,2026-02-07,40.0,303,0.9055588762701734,0.1212,0.8066942479783443
amatitlan,2026-02-07,60.0,80,0.2390914524805738,0.032,0.2129885803243153
amatitlan,2026-03-29,20.0,35742,99.90217178634317,14.2968,95.15797297439597
amatitlan,2026-03-29,40.0,35414,98.98538166978786,14.1656,94.28471979506628
amatitlan,2026-03-29,60.0,34276,95.80456718003187,13.7104,91.2549572399529
amatitlan,2026-04-13,20.0,36630,99.99454029264031,14.652,97.52214621599587
amatitlan,2026-04-13,40.0,36620,99.96724175584188,14.648,97.49552264345533
amatitlan,2026-04-13,60.0,36453,99.51135619130815,14.5812,97.05090898202833
amatitlan,2026-04-28,20.0,28938,99.18426103646833,11.5752,77.04329421781296
amatitlan,2026-04-28,40.0,28672,98.2725527831094,11.4688,76.33510718823462
amatitlan,2026-04-28,60.0,28616,98.0806142034549,11.4464,76.1860151820076
amatitlan,2026-06-19,20.0,34460,99.93330046689672,13.784,91.74483097469883
amatitlan,2026-06-19,40.0,33690,97.70031609778732,13.476,89.69481588907729
amatitlan,2026-06-19,60.0,30467,88.35368152422933,12.1868,81.11403845926144
atitlan,2025-01-18,20.0,445,0.33038094036067206,0.178,0.14274214750827544
atitlan,2025-01-18,40.0,262,0.19451641881909232,0.1048,0.0840414441509397
atitlan,2025-01-18,60.0,187,0.13883423785942847,0.0748,0.059983778840556196
atitlan,2025-04-13,20.0,1133,0.36942600393880504,0.4532,0.3634311306221934
atitlan,2025-04-13,40.0,657,0.2142214338815489,0.2628,0.21074514811895947
atitlan,2025-04-13,60.0,450,0.1467270095079102,0.18,0.14434599186230102
atitlan,2025-05-13,20.0,2831,0.9239405362184038,1.1324,0.9080966732492759
atitlan,2025-05-13,40.0,1287,0.420032310177706,0.5148,0.4128295367261809
atitlan,2025-05-13,60.0,811,0.2646823648439157,0.3244,0.26014355422294694
atitlan,2025-07-17,20.0,13368,4.4589280294059765,5.3472,4.288038264922755
atitlan,2025-07-17,40.0,9786,3.2641434542015926,3.9144,3.139044169698839
atitlan,2025-07-17,60.0,8437,2.8141813123951396,3.3748,2.7063269629827413
atitlan,2025-11-21,20.0,710,0.2812504951593225,0.284,0.22774589827163047
atitlan,2025-11-21,40.0,434,0.17191931675936048,0.1736,0.13921368992941918
atitlan,2025-11-21,60.0,308,0.12200725705503003,0.1232,0.09879681220797491
atitlan,2025-12-29,20.0,756,0.26720956864741063,0.3024,0.2425012663286657
atitlan,2025-12-29,40.0,474,0.1675361581202019,0.1896,0.15204444476162374
atitlan,2025-12-29,60.0,352,0.12441503725382082,0.1408,0.1129106425233999
atitlan,2026-02-12,20.0,630,0.26216573868317894,0.252,0.20208438860722142
atitlan,2026-02-12,40.0,390,0.1622930763276822,0.156,0.1250998596139942
atitlan,2026-02-12,60.0,281,0.11693424217456076,0.1124,0.09013605269623685
atitlan,2026-03-24,20.0,976,0.3195086899161617,0.3904,0.31307041790579065
atitlan,2026-03-24,40.0,624,0.2042760476513165,0.2496,0.20015977538239074
atitlan,2026-03-24,60.0,441,0.1443681682920362,0.1764,0.14145907202505498
atitlan,2026-04-13,20.0,24182,7.925198605175533,9.6728,7.756832833809251
atitlan,2026-04-13,40.0,4554,1.4924883983115282,1.8216,1.4607814376464863
atitlan,2026-04-13,60.0,1235,0.4047481712592748,0.494,0.39614955544431496
atitlan,2026-04-28,20.0,3630,1.1850429945350909,1.452,1.1643910010225615
atitlan,2026-04-28,40.0,1539,0.5024190547078526,0.6156,0.49366329216906946
atitlan,2026-04-28,60.0,950,0.3101352189554646,0.38,0.30473042726485766
atitlan,2026-07-22,20.0,12644,4.1927247405245875,5.0576,4.055801602459853
atitlan,2026-07-22,40.0,3152,1.0451968033955632,1.2608,1.0110634807777172
atitlan,2026-07-22,60.0,1044,0.3461882813277183,0.4176,0.33488270112053836
