lago,fecha,indice,n_pixeles,media,mediana,desviacion,p10,p25,p75,p90,p95,p99,minimo,maximo,media_recortada_10,media_truncada_0_100,porcentaje_saturado_100,umbral_alto,porcentaje_alto,area_valida_km2,cobertura_valida_pct,porcentaje_area_alto
amatitlan,2025-01-28,CYA,35059,7.615247712844114,6.255226135253906,8.118218156358262,2.8970569610595702,3.9438122510910034,9.673685073852539,13.00351142883301,15.776329231262196,31.689518775939863,0.213515505194664,742.4227905273438,6.750686591171465,7.568930149078369,0.019966342451296387,40.0,0.4535212071080179,14.0236,93.33958296987713,0.4233148033945767
amatitlan,2025-04-15,CYA,36296,137.60111843566813,135.48837280273438,63.415767598052234,67.55551147460938,100.72067642211914,160.75106048583984,199.99569702148438,237.11883926391602,376.3515106201199,3.455888509750366,1273.5374755859375,132.55107153826697,92.54576110839844,75.38571743442803,40.0,97.0465065020939,14.5184,96.63291889314186,93.77887191679604
amatitlan,2025-04-28,CYA,35085,151.6008261351567,137.43211364746094,91.01494182912377,61.814903259277344,91.5610580444336,189.0262908935547,242.96002197265628,306.75396728515625,496.88312499999756,3.4224724769592285,2104.5283203125,140.41809395326533,90.96722412109375,70.37195382642155,40.0,97.06427248111729,14.034,93.40880425848253,90.66657628680697
amatitlan,2025-11-24,CYA,34563,9.395737197522495,6.953186988830566,11.369154554124945,2.6116107940673827,4.456908702850342,10.738083362579346,15.788282012939451,21.62934722900391,59.72287879943831,0.12172828614711761,539.4501342773438,7.543170217536596,9.3129243850708,0.31536614298527327,40.0,2.193096664062726,13.8252,92.01905377186638,2.0180667985728875
amatitlan,2026-01-08,CYA,33410,17.27762034381156,14.483492374420166,15.461931904514287,7.6608983993530275,10.78910493850708,19.718421936035156,29.808380126953153,38.80236988067626,60.26485263824449,0.09072162210941315,1751.1070556640625,15.378072195640405,17.165189743041992,0.10475905417539659,40.0,4.552529182879377,13.364,88.94935585794218,4.049445383416045
amatitlan,2026-02-02,CYA,33363,14.545650078381858,11.690710067749023,12.55449889050105,5.686823844909668,7.925800561904907,17.58398723602295,26.794336318969723,34.11817626953124,52.88810806274413,0.18837177753448486,1300.949951171875,12.810481856862577,14.491744041442871,0.011989329496747895,40.0,3.2101429727542485,13.3452,88.82422506700165,2.8513846190917715
amatitlan,2026-02-07,CYA,33460,8.503499517060336,7.474053859710693,12.504001264922225,3.6733000755310057,5.359787344932556,9.8073890209198,12.529346084594726,15.106439781188964,37.83387405395506,0.00015224651724565774,1748.4249267578125,7.605329857568005,8.404369354248047,0.044829647340107595,40.0,0.9055588762701733,13.384,89.08247372064488,0.8066942479783443
amatitlan,2026-03-29,CYA,35777,146.39323506937853,137.50389099121094,68.84040764164702,76.59787139892579,102.58930206298828,173.94874572753906,219.02558593750004,257.7212829589843,425.93477050781195,5.150105953216553,2506.139892578125,139.11659691432985,94.46416473388672,76.57433546692009,40.0,98.98538166978786,14.3108,95.25115547828787,94.28471979506628
amatitlan,2026-04-13,CYA,36632,275.03218460135076,262.2423553466797,122.84429180861252,125.69981155395507,168.87677383422852,382.22437286376953,433.0443084716797,461.8826019287109,526.5661267089845,17.037588119506836,3261.701416015625,271.68823804602806,99.1174545288086,95.45206376938195,40.0,99.96724175584188,14.6528,97.52747093050398,97.49552264345533
amatitlan,2026-04-28,CYA,29176,214.66171183552126,215.9097900390625,74.9508867262544,144.5610580444336,169.6085968017578,246.89278030395508,280.7086181640625,325.36720275878906,443.7501907348633,10.161090850830078,4019.32470703125,210.80840462535085,98.47946166992188,97.35056210584042,40.0,98.2725527831094,11.6704,77.6769352442778,76.33510718823462
amatitlan,2026-06-19,CYA,34483,116.03281147992149,103.3525161743164,63.69025163731918,57.079477691650396,78.17208862304688,133.09060668945312,191.51689147949216,239.3044555664062,337.9788171386719,0.029184488579630852,1842.6739501953125,106.9328262645783,87.57470703125,53.55682510222428,40.0,97.70031609778732,13.7932,91.80606519154206,89.69481588907729
atitlan,2025-01-18,CYA,134693,0.32960319110910336,0.0006491041858680546,7.654632176802272,1.8582484699436463e-05,0.00014221070159692317,0.002870440250262618,0.01295293029397726,0.027413280680775642,1.3411891746520843,4.562135018204572e-06,1040.1689453125,0.0017318949262194099,0.2407670021057129,0.07424290794621843,40.0,0.1945164188190923,53.8772,43.205321515353134,0.0840414441509397
atitlan,2025-04-13,CYA,306692,3.031875227763963,1.8304997682571411,94.67875496180827,0.8563540577888489,1.17691171169281,3.22868674993515,5.582575798034668,6.940586566925049,9.834952888488832,0.002382226288318634,52175.15234375,2.191321557434322,2.73667311668396,0.08868832574700351,40.0,0.2142214338815489,122.6768,98.37724652496182,0.21074514811895947
atitlan,2025-05-13,CYA,306405,4.001693758246744,1.2904342412948608,101.58418596583215,0.3870587468147278,0.5870649814605713,5.091862678527832,8.506360054016119,10.894937515258789,18.948808441162374,0.00031057471642270684,55503.17578125,2.5339609583810585,3.5196807384490967,0.15502357990241675,40.0,0.420032310177706,122.562,98.28518585904075,0.4128295367261809
atitlan,2025-07-17,CYA,299803,15.320477071119097,0.838354229927063,119.07465502204803,0.11414383053779602,0.18541693687438965,2.1812245845794678,5.1970248222351065,15.194767093658422,507.6682983398434,2.6646353035175707e-06,42598.57421875,1.2073894789197732,4.7921013832092285,2.5670190091493414,40.0,3.264143454201592,119.9212,96.1674697739854,3.139044169698839
atitlan,2025-11-21,CYA,252444,0.43993468961945137,0.024132823571562767,23.53747196691004,0.007029728451743723,0.013078377582132816,0.04234708473086357,0.066803551465273,0.08919128030538559,1.2075950610638009,1.1480762623250484e-05,9681.8056640625,0.027566111241504144,0.2415062040090561,0.07169906989272869,40.0,0.1719193167593605,100.9776,80.97617682152604,0.13921368992941918
atitlan,2025-12-29,CYA,282924,0.4405213532512636,0.04375630430877209,17.004145598851103,0.011491549201309681,0.02255350910127163,0.08361034840345383,0.149755597114563,0.27909400165080644,1.4615688943862992,3.963082690461306e-06,6618.8408203125,0.05294041837504569,0.2784491181373596,0.06998345845527422,40.0,0.1675361581202019,113.1696,90.7532120036659,0.15204444476162374
atitlan,2026-02-12,CYA,240306,0.35288846071891733,0.05787593498826027,8.790757586939034,0.015645651146769524,0.03334581106901169,0.0927695780992508,0.13598687946796417,0.1711762510240078,0.39193863421678754,7.86394866736373e-06,1453.962158203125,0.0627383030374245,0.25285226106643677,0.07074313583514352,40.0,0.1622930763276822,96.1224,77.08268426769357,0.1250998596139942
atitlan,2026-03-24,CYA,305469,1.0378711542608074,0.5724753141403198,42.769412186684434,0.33438098430633545,0.44911861419677734,0.7031837701797485,0.8530066728591924,1.0461243152618402,3.160274658203125,0.00016915713786147535,23065.697265625,0.5766754563561625,0.8406289219856262,0.08609711623765423,40.0,0.20427604765131652,122.1876,97.98494619596717,0.20015977538239074
atitlan,2026-04-13,CYA,305128,6.5263166981765295,2.565951347351074,80.55336393527092,0.2810619592666626,1.1071922779083252,6.36144483089447,17.431277465820312,25.172692298889118,45.89961524963377,1.9032331692869775e-05,42904.1953125,3.9895102181940745,6.1900529861450195,0.16484885031855484,40.0,1.4924883983115285,122.0512,97.87556401102263,1.4607814376464863
atitlan,2026-04-28,CYA,306318,4.967546248378633,2.528807282447815,14.591636526895757,1.0123753547668457,1.4650604724884033,6.842378497123718,9.460955047607422,11.302171277999863,22.83705854415894,0.00046889830264262855,1975.1951904296875,3.794843141546205,4.699826240539551,0.16682010198551833,40.0,0.5024190547078526,122.5272,98.25727896728071,0.49366329216906946
atitlan,2026-07-22,CYA,301570,4.665749455183596,1.0719841718673706,60.70426774124859,0.2795657724142075,0.46470317244529724,4.14712131023407,11.737555503845215,18.166521072387695,40.689321174621575,5.2390951168490574e-05,31948.58203125,2.3183028077321444,4.233733177185059,0.1568458401034586,40.0,1.0451968033955632,120.628,96.73426836869804,1.0110634807777172
